scenario,tag,ts_us,value,value_kind,quality
S01,qa_ind_0001,1788652800000000,50.2,finite,0
S01,qa_ind_0001,1788652810000000,50.30384172,finite,0
S01,qa_ind_0001,1788652820000000,50.3936352,finite,0
S01,qa_ind_0001,1788652830000000,50.47086866,finite,0
S01,qa_ind_0001,1788652840000000,50.53793432,finite,0
S01,qa_ind_0001,1788652850000000,50.59795073,finite,0
S01,qa_ind_0001,1788652860000000,50.65453243,finite,0
S01,qa_ind_0001,1788652870000000,50.71152359,finite,0
S01,qa_ind_0001,1788652880000000,50.77271498,finite,0
S01,qa_ind_0001,1788652890000000,50.84156485,finite,0
S01,qa_ind_0001,1788652900000000,50.92094393,finite,0
S01,qa_ind_0001,1788652910000000,51.01292314,finite,0
S01,qa_ind_0001,1788652920000000,51.11861935,finite,0
S01,qa_ind_0001,1788652930000000,51.23811046,finite,0
S01,qa_ind_0001,1788652940000000,51.37042592,finite,0
S01,qa_ind_0001,1788652950000000,51.51361336,finite,0
S01,qa_ind_0001,1788652960000000,51.66487659,finite,0
S01,qa_ind_0001,1788652970000000,51.82077485,finite,0
S01,qa_ind_0001,1788652980000000,51.97746886,finite,0
S01,qa_ind_0001,1788652990000000,52.13099593,finite,0
S01,qa_ind_0001,1788653000000000,52.27755396,finite,0
S01,qa_ind_0001,1788653010000000,52.41377383,finite,0
S01,qa_ind_0001,1788653020000000,52.53696048,finite,0
S01,qa_ind_0001,1788653030000000,52.64528499,finite,0
S01,qa_ind_0001,1788653040000000,52.73791383,finite,0
S01,qa_ind_0001,1788653050000000,52.81506596,finite,0
S01,qa_ind_0001,1788653060000000,52.87799343,finite,0
S01,qa_ind_0001,1788653070000000,52.92888718,finite,0
S01,qa_ind_0001,1788653080000000,52.97071455,finite,0
S01,qa_ind_0001,1788653090000000,53.00700063,finite,0
S01,qa_ind_0001,1788653100000000,53.04156901,finite,0
S01,qa_ind_0001,1788653110000000,53.07826107,finite,0
S01,qa_ind_0001,1788653120000000,53.12065389,finite,0
S01,qa_ind_0001,1788653130000000,53.17179749,finite,0
S01,qa_ind_0001,1788653140000000,53.23399037,finite,0
S01,qa_ind_0001,1788653150000000,53.30860965,finite,0
S01,qa_ind_0001,1788653160000000,53.39600817,finite,0
S01,qa_ind_0001,1788653170000000,53.49548605,finite,0
S01,qa_ind_0001,1788653180000000,53.60533869,finite,0
S01,qa_ind_0001,1788653190000000,53.72297784,finite,0
S01,qa_ind_0001,1788653200000000,53.8451168,finite,0
S01,qa_ind_0001,1788653210000000,53.96800649,finite,0
S01,qa_ind_0001,1788653220000000,54.08770509,finite,0
S01,qa_ind_0001,1788653230000000,54.2003618,finite,0
S01,qa_ind_0001,1788653240000000,54.30249398,finite,0
S01,qa_ind_0001,1788653250000000,54.39123772,finite,0
S01,qa_ind_0001,1788653260000000,54.4645535,finite,0
S01,qa_ind_0001,1788653270000000,54.52137208,finite,0
S01,qa_ind_0001,1788653280000000,54.56167007,finite,0
S01,qa_ind_0001,1788653290000000,54.58646955,finite,0
S01,qa_ind_0001,1788653300000000,54.59776195,finite,0
S01,qa_ind_0001,1788653310000000,54.59836158,finite,0
S01,qa_ind_0001,1788653320000000,54.59169953,finite,0
S01,qa_ind_0001,1788653330000000,54.58157282,finite,0
S01,qa_ind_0001,1788653340000000,54.57186709,finite,0
S01,qa_ind_0001,1788653350000000,54.56627299,finite,0
S01,qa_ind_0001,1788653360000000,54.56801667,finite,0
S01,qa_ind_0001,1788653370000000,54.57962425,finite,0
S01,qa_ind_0001,1788653380000000,54.60273704,finite,0
S01,qa_ind_0001,1788653390000000,54.63799117,finite,0
S01,qa_ind_0001,1788653400000000,54.6849703,finite,0
S01,qa_ind_0001,1788653410000000,54.74223472,finite,0
S01,qa_ind_0001,1788653420000000,54.80742496,finite,0
S01,qa_ind_0001,1788653430000000,54.87743219,finite,0
S01,qa_ind_0001,1788653440000000,54.94862311,finite,0
S01,qa_ind_0001,1788653450000000,55.01710303,finite,0
S01,qa_ind_0001,1788653460000000,55.07899802,finite,0
S01,qa_ind_0001,1788653470000000,55.13073561,finite,0
S01,qa_ind_0001,1788653480000000,55.16930371,finite,0
S01,qa_ind_0001,1788653490000000,55.19246891,finite,0
S01,qa_ind_0001,1788653500000000,55.19893838,finite,0
S01,qa_ind_0001,1788653510000000,55.18845353,finite,0
S01,qa_ind_0001,1788653520000000,55.16180867,finite,0
S01,qa_ind_0001,1788653530000000,55.12079333,finite,0
S01,qa_ind_0001,1788653540000000,55.06806243,finite,0
S01,qa_ind_0001,1788653550000000,55.00694363,finite,0
S01,qa_ind_0001,1788653560000000,54.94119604,finite,0
S01,qa_ind_0001,1788653570000000,54.87473761,finite,0
S01,qa_ind_0001,1788653580000000,54.81136108,finite,0
S01,qa_ind_0001,1788653590000000,54.75445919,finite,0
S01,qa_ind_0001,1788653600000000,54.70677886,finite,0
S01,qa_ind_0001,1788653610000000,54.67022253,finite,0
S01,qa_ind_0001,1788653620000000,54.64571077,finite,0
S01,qa_ind_0001,1788653630000000,54.63311627,finite,0
S01,qa_ind_0001,1788653640000000,54.6312741,finite,0
S01,qa_ind_0001,1788653650000000,54.63806724,finite,0
S01,qa_ind_0001,1788653660000000,54.65058144,finite,0
S01,qa_ind_0001,1788653670000000,54.66531796,finite,0
S01,qa_ind_0001,1788653680000000,54.67844891,finite,0
S01,qa_ind_0001,1788653690000000,54.68609649,finite,0
S01,qa_ind_0001,1788653700000000,54.68461597,finite,0
S01,qa_ind_0001,1788653710000000,54.67086188,finite,0
S01,qa_ind_0001,1788653720000000,54.64241792,finite,0
S01,qa_ind_0001,1788653730000000,54.59777412,finite,0
S01,qa_ind_0001,1788653740000000,54.53643821,finite,0
S01,qa_ind_0001,1788653750000000,54.45897324,finite,0
S01,qa_ind_0001,1788653760000000,54.36695857,finite,0
S01,qa_ind_0001,1788653770000000,54.26287722,finite,0
S01,qa_ind_0001,1788653780000000,54.14993771,finite,0
S01,qa_ind_0001,1788653790000000,54.0318432,finite,0
S01,qa_ind_0001,1788653800000000,53.91252489,finite,0
S01,qa_ind_0001,1788653810000000,53.79585888,finite,0
S01,qa_ind_0001,1788653820000000,53.68538714,finite,0
S01,qa_ind_0001,1788653830000000,53.58406276,finite,0
S01,qa_ind_0001,1788653840000000,53.49403808,finite,0
S01,qa_ind_0001,1788653850000000,53.41651096,finite,0
S01,qa_ind_0001,1788653860000000,53.35164048,finite,0
S01,qa_ind_0001,1788653870000000,53.29853809,finite,0
S01,qa_ind_0001,1788653880000000,53.25533485,finite,0
S01,qa_ind_0001,1788653890000000,53.21932,finite,0
S01,qa_ind_0001,1788653900000000,53.1871406,finite,0
S01,qa_ind_0001,1788653910000000,53.15504795,finite,0
S01,qa_ind_0001,1788653920000000,53.11917275,finite,0
S01,qa_ind_0001,1788653930000000,53.07580905,finite,0
S01,qa_ind_0001,1788653940000000,53.0216865,finite,0
S01,qa_ind_0001,1788653950000000,52.95421085,finite,0
S01,qa_ind_0001,1788653960000000,52.87165564,finite,0
S01,qa_ind_0001,1788653970000000,52.77329071,finite,0
S01,qa_ind_0001,1788653980000000,52.6594386,finite,0
S01,qa_ind_0001,1788653990000000,52.53145448,finite,0
S01,qa_ind_0001,1788654000000000,52.39163115,finite,0
S01,qa_ind_0001,1788654010000000,52.24303609,finite,0
S01,qa_ind_0001,1788654020000000,52.08929219,finite,0
S01,qa_ind_0001,1788654030000000,51.93431829,finite,0
S01,qa_ind_0001,1788654040000000,51.78204824,finite,0
S01,qa_ind_0001,1788654050000000,51.63614889,finite,0
S01,qa_ind_0001,1788654060000000,51.49975755,finite,0
S01,qa_ind_0001,1788654070000000,51.37525783,finite,0
S01,qa_ind_0001,1788654080000000,51.26411039,finite,0
S01,qa_ind_0001,1788654090000000,51.16675053,finite,0
S01,qa_ind_0001,1788654100000000,51.08256046,finite,0
S01,qa_ind_0001,1788654110000000,51.00991785,finite,0
S01,qa_ind_0001,1788654120000000,50.94631752,finite,0
S01,qa_ind_0001,1788654130000000,50.88855711,finite,0
S01,qa_ind_0001,1788654140000000,50.83297345,finite,0
