scenario,tag,ts_us,value,value_kind,quality
V01,qa_v2_0001,1788652800000000,50.2,finite,0
V01,qa_v2_0001,1788652810000000,50.30384172,finite,0
V01,qa_v2_0001,1788652820000000,50.3936352,finite,0
V01,qa_v2_0001,1788652830000000,50.47086866,finite,0
V01,qa_v2_0001,1788652840000000,50.53793432,finite,0
V01,qa_v2_0001,1788652850000000,50.59795073,finite,0
V01,qa_v2_0001,1788652860000000,50.65453243,finite,0
V01,qa_v2_0001,1788652870000000,50.71152359,finite,0
V01,qa_v2_0001,1788652880000000,50.77271498,finite,0
V01,qa_v2_0001,1788652890000000,50.84156485,finite,0
V01,qa_v2_0001,1788652900000000,50.92094393,finite,0
V01,qa_v2_0001,1788652910000000,51.01292314,finite,0
V01,qa_v2_0001,1788652920000000,51.11861935,finite,0
V01,qa_v2_0001,1788652930000000,51.23811046,finite,0
V01,qa_v2_0001,1788652940000000,51.37042592,finite,0
V01,qa_v2_0001,1788652950000000,51.51361336,finite,0
V01,qa_v2_0001,1788652960000000,51.66487659,finite,0
V01,qa_v2_0001,1788652970000000,51.82077485,finite,0
V01,qa_v2_0001,1788652980000000,51.97746886,finite,0
V01,qa_v2_0001,1788652990000000,52.13099593,finite,0
V01,qa_v2_0001,1788653000000000,52.27755396,finite,0
V01,qa_v2_0001,1788653010000000,52.41377383,finite,0
V01,qa_v2_0001,1788653020000000,52.53696048,finite,0
V01,qa_v2_0001,1788653030000000,52.64528499,finite,0
V01,qa_v2_0001,1788653040000000,52.73791383,finite,0
V01,qa_v2_0001,1788653050000000,52.81506596,finite,0
V01,qa_v2_0001,1788653060000000,52.87799343,finite,0
V01,qa_v2_0001,1788653070000000,52.92888718,finite,0
V01,qa_v2_0001,1788653080000000,52.97071455,finite,0
V01,qa_v2_0001,1788653090000000,53.00700063,finite,0
V01,qa_v2_0001,1788653100000000,53.04156901,finite,0
V01,qa_v2_0001,1788653110000000,53.07826107,finite,0
V01,qa_v2_0001,1788653120000000,53.12065389,finite,0
V01,qa_v2_0001,1788653130000000,53.17179749,finite,0
V01,qa_v2_0001,1788653140000000,53.23399037,finite,0
V01,qa_v2_0001,1788653150000000,53.30860965,finite,0
V01,qa_v2_0001,1788653160000000,53.39600817,finite,0
V01,qa_v2_0001,1788653170000000,53.49548605,finite,0
V01,qa_v2_0001,1788653180000000,53.60533869,finite,0
V01,qa_v2_0001,1788653190000000,53.72297784,finite,0
V01,qa_v2_0001,1788653200000000,53.8451168,finite,0
V01,qa_v2_0001,1788653210000000,53.96800649,finite,0
V01,qa_v2_0001,1788653220000000,54.08770509,finite,0
V01,qa_v2_0001,1788653230000000,54.2003618,finite,0
V01,qa_v2_0001,1788653240000000,54.30249398,finite,0
V01,qa_v2_0001,1788653250000000,54.39123772,finite,0
V01,qa_v2_0001,1788653260000000,54.4645535,finite,0
V01,qa_v2_0001,1788653270000000,54.52137208,finite,0
V01,qa_v2_0001,1788653280000000,54.56167007,finite,0
V01,qa_v2_0001,1788653290000000,54.58646955,finite,0
V01,qa_v2_0001,1788653300000000,54.59776195,finite,0
V01,qa_v2_0001,1788653310000000,54.59836158,finite,0
V01,qa_v2_0001,1788653320000000,54.59169953,finite,0
V01,qa_v2_0001,1788653330000000,54.58157282,finite,0
V01,qa_v2_0001,1788653340000000,54.57186709,finite,0
V01,qa_v2_0001,1788653350000000,54.56627299,finite,0
V01,qa_v2_0001,1788653360000000,54.56801667,finite,0
V01,qa_v2_0001,1788653370000000,54.57962425,finite,0
V01,qa_v2_0001,1788653380000000,54.60273704,finite,0
V01,qa_v2_0001,1788653390000000,54.63799117,finite,0
V01,qa_v2_0001,1788653400000000,54.6849703,finite,0
V01,qa_v2_0001,1788653410000000,54.74223472,finite,0
V01,qa_v2_0001,1788653420000000,54.80742496,finite,0
V01,qa_v2_0001,1788653430000000,54.87743219,finite,0
V01,qa_v2_0001,1788653440000000,54.94862311,finite,0
V01,qa_v2_0001,1788653450000000,55.01710303,finite,0
V01,qa_v2_0001,1788653460000000,55.07899802,finite,0
V01,qa_v2_0001,1788653470000000,55.13073561,finite,0
V01,qa_v2_0001,1788653480000000,55.16930371,finite,0
